date,goods_inflation
2021-01-23,123.8
2021-01-24,123.8
2021-01-25,123.8
2021-01-26,123.8
2021-01-27,123.8
2021-01-28,123.8
2021-01-29,123.8
2021-01-30,123.8
2021-01-31,123.8
2021-02-01,125.2
2021-02-02,125.2
2021-02-03,125.2
2021-02-04,125.2
2021-02-05,125.2
2021-02-06,125.2
2021-02-07,125.2
2021-02-08,125.2
2021-02-09,125.2
2021-02-10,125.2
2021-02-11,125.2
2021-02-12,125.2
2021-02-13,125.2
2021-02-14,125.2
2021-02-15,125.2
2021-02-16,125.2
2021-02-17,125.2
2021-02-18,125.2
2021-02-19,125.2
2021-02-20,125.2
2021-02-21,125.2
2021-02-22,125.2
2021-02-23,125.2
2021-02-24,125.2
2021-02-25,125.2
2021-02-26,125.2
2021-02-27,125.2
2021-02-28,125.2
2021-03-01,126.2
2021-03-02,126.2
2021-03-03,126.2
2021-03-04,126.2
2021-03-05,126.2
2021-03-06,126.2
2021-03-07,126.2
2021-03-08,126.2
2021-03-09,126.2
2021-03-10,126.2
2021-03-11,126.2
2021-03-12,126.2
2021-03-13,126.2
2021-03-14,126.2
2021-03-15,126.2
2021-03-16,126.2
2021-03-17,126.2
2021-03-18,126.2
2021-03-19,126.2
2021-03-20,126.2
2021-03-21,126.2
2021-03-22,126.2
2021-03-23,126.2
2021-03-24,126.2
2021-03-25,126.2
2021-03-26,126.2
2021-03-27,126.2
2021-03-28,126.2
2021-03-29,126.2
2021-03-30,126.2
2021-03-31,126.2
2021-04-01,126.8
2021-04-02,126.8
2021-04-03,126.8
